attribute,level,raw_partworth_vs_baseline,zero_centered_partworth
Price_Bucket,Budget,0.0,0.18615958907575078
Price_Bucket,Mid-range,-0.18111014037007797,0.00504944870567281
Price_Bucket,Premium,-0.3773686268571743,-0.19120903778142354
Processor_Tier,Entry,0.0,-0.3566277659938805
Processor_Tier,Mainstream,0.24731455153364112,-0.1093132144602394
Processor_Tier,Upper mainstream,0.2844829107213923,-0.0721448552724882
Processor_Tier,Performance,0.6618777825886499,0.3052500165947694
Processor_Tier,Premium performance,0.8139285508846598,0.45730078489077924
Processor_Tier,Other,0.13216280023493973,-0.2244649657589408
RAM_Bucket,8 GB or less,0.0,-0.15297513460869264
RAM_Bucket,16 GB,0.1507341240661023,-0.0022410105425903493
RAM_Bucket,24 GB or more,0.3081912797599756,0.15521614515128299
Storage_Bucket,256 GB or less,0.0,-0.12075489285507772
Storage_Bucket,512 GB,0.1673974166147044,0.04664252375962667
Storage_Bucket,1 TB or more,0.19486726195052873,0.074112369095451
Warranty_Bucket,1 year,0.0,-0.0988704366640031
Warranty_Bucket,2 years,0.12008108043982187,0.02121064377581877
Warranty_Bucket,3+ years,0.17653022955218742,0.07765979288818432
