term,beta,p_value,attribute,level
Price_Bucket::Mid-range,-0.086585289974961,0.03528160323200341,Price_Bucket,Mid-range
Price_Bucket::Premium,-0.2946675424225952,2.8821600457292555e-12,Price_Bucket,Premium
Processor_Tier::Mainstream,0.20196703728032242,0.0018112897084475606,Processor_Tier,Mainstream
Processor_Tier::Upper mainstream,0.2344038312069202,2.1777462819282348e-05,Processor_Tier,Upper mainstream
Processor_Tier::Performance,0.3946052831610336,2.1799651522673936e-13,Processor_Tier,Performance
Processor_Tier::Premium performance,0.7088138584169186,5.6049314251856595e-43,Processor_Tier,Premium performance
Processor_Tier::Other,0.22030707724817192,0.0007066725787286876,Processor_Tier,Other
RAM_Bucket::16 GB,0.16537305077993486,0.00021236419187190494,RAM_Bucket,16 GB
RAM_Bucket::24 GB or more,0.2694008230237351,8.05683303904011e-11,RAM_Bucket,24 GB or more
Storage_Bucket::512 GB,0.18360170559279712,9.567731196416164e-06,Storage_Bucket,512 GB
Storage_Bucket::1 TB or more,0.29573742621553556,4.859379521122167e-13,Storage_Bucket,1 TB or more
Warranty_Bucket::2 years,0.0921915663519711,0.015400403245730701,Warranty_Bucket,2 years
Warranty_Bucket::3+ years,0.13541731432867088,0.002565740038590147,Warranty_Bucket,3+ years
