attribute,level,raw_partworth_vs_baseline,zero_centered_partworth
Price_Bucket,Budget,0.0,0.19509800777318595
Price_Bucket,Mid-range,-0.16867419846327725,0.026423809309908702
Price_Bucket,Premium,-0.4166198248562805,-0.22152181708309457
Processor_Tier,Entry,0.0,-0.25932849011655623
Processor_Tier,Mainstream,0.1884430405679593,-0.07088544954859693
Processor_Tier,Upper mainstream,0.30741723330305193,0.0480887431864957
Processor_Tier,Performance,0.4991037969758537,0.2397753068592975
Processor_Tier,Premium performance,0.5109889683608383,0.25166047824428206
Processor_Tier,Other,0.050017901491634265,-0.20931058862492197
RAM_Bucket,8 GB or less,0.0,-0.11389635395394283
RAM_Bucket,16 GB,0.07479539198732638,-0.03910096196661646
RAM_Bucket,24 GB or more,0.26689366987450214,0.15299731592055932
Storage_Bucket,256 GB or less,0.0,-0.1933465008605024
Storage_Bucket,512 GB,0.19927971931572694,0.005933218455224543
Storage_Bucket,1 TB or more,0.3807597832657802,0.1874132824052778
Warranty_Bucket,1 year,0.0,-0.10477020936901675
Warranty_Bucket,2 years,0.06992321643530158,-0.03484699293371517
Warranty_Bucket,3+ years,0.24438741167174868,0.13961720230273195
