attribute,level,raw_partworth_vs_baseline,zero_centered_partworth
Price_Bucket,Budget,0.0,0.1940853092309287
Price_Bucket,Mid-range,-0.20278646649558868,-0.008701157264659976
Price_Bucket,Premium,-0.3794694611971975,-0.18538415196626878
Processor_Tier,Entry,0.0,-0.25263671080990624
Processor_Tier,Mainstream,0.25126223007800713,-0.0013744807318991081
Processor_Tier,Upper mainstream,0.26173646363871367,0.009099752828807428
Processor_Tier,Performance,0.3902307575635715,0.13759404675366527
Processor_Tier,Premium performance,0.5406987844796183,0.28806207366971204
Processor_Tier,Other,0.07189202909952676,-0.1807446817103795
RAM_Bucket,8 GB or less,0.0,-0.1859073747479717
RAM_Bucket,16 GB,0.20839153257262286,0.022484157824651158
RAM_Bucket,24 GB or more,0.3493305916712922,0.1634232169233205
Storage_Bucket,256 GB or less,0.0,-0.13184337823546544
Storage_Bucket,512 GB,0.1305033710555637,-0.0013400071799017366
Storage_Bucket,1 TB or more,0.2650267636508326,0.13318338541536717
Warranty_Bucket,1 year,0.0,-0.11611083666628756
Warranty_Bucket,2 years,0.13849621206004403,0.02238537539375647
Warranty_Bucket,3+ years,0.20983629793881864,0.09372546127253108
