term,vif,attribute,level
Company_Bucket_10::Lenovo,1.7384949912273409,Company_Bucket_10,Lenovo
Company_Bucket_10::HP,1.6612199802472924,Company_Bucket_10,HP
Company_Bucket_10::DELL,1.638757219719539,Company_Bucket_10,DELL
Company_Bucket_10::Acer,1.5788460716348742,Company_Bucket_10,Acer
Price_Bucket::Mid-range,1.8493582495352556,Price_Bucket,Mid-range
Price_Bucket::Premium,1.7979560339333445,Price_Bucket,Premium
Processor_Tier::Mainstream,1.643052333485299,Processor_Tier,Mainstream
Processor_Tier::Upper mainstream,1.7284391470272873,Processor_Tier,Upper mainstream
Processor_Tier::Performance,1.6274601682107406,Processor_Tier,Performance
Processor_Tier::Premium performance,1.6655051427887357,Processor_Tier,Premium performance
Processor_Tier::Other,1.7329805613779654,Processor_Tier,Other
RAM_Bucket::16 GB,1.826050815077367,RAM_Bucket,16 GB
RAM_Bucket::24 GB or more,1.8121548748678864,RAM_Bucket,24 GB or more
Storage_Bucket::512 GB,1.949001475378508,Storage_Bucket,512 GB
Storage_Bucket::1 TB or more,1.879223805034819,Storage_Bucket,1 TB or more
Warranty_Bucket::2 years,1.902348316750737,Warranty_Bucket,2 years
Warranty_Bucket::3+ years,1.8353828018790226,Warranty_Bucket,3+ years
